leg,symbol,quantity,entry_time,entry_px,exit_time,exit_px,exit_reason,is_short,pnl_points,pnl_rupees
WEEKLY_CE,NIFTY09FEB2317800CE,65,2023-02-07T10:35:00+05:30,86.8,2023-02-07T11:00:00+05:30,76.75,opposite_signal,False,-10.049999999999997,-653.2499999999998
WEEKLY_PE,NIFTY09FEB2317700PE,65,2023-02-07T12:15:00+05:30,85.9,2023-02-07T13:35:00+05:30,77.8,opposite_signal,False,-8.100000000000009,-526.5000000000006
WEEKLY_PE,NIFTY09FEB2317700PE,65,2023-02-07T13:55:00+05:30,80.35,2023-02-07T14:05:00+05:30,68.8,opposite_signal,False,-11.549999999999997,-750.7499999999998
WEEKLY_CE,NIFTY09FEB2317850CE,65,2023-02-08T09:40:00+05:30,64.65,2023-02-08T10:40:00+05:30,50.05,opposite_signal,False,-14.600000000000009,-949.0000000000006
WEEKLY_PE,NIFTY09FEB2317800PE,65,2023-02-08T10:40:00+05:30,64.45,2023-02-08T10:55:00+05:30,56.6,opposite_signal,False,-7.850000000000001,-510.2500000000001
WEEKLY_CE,NIFTY09FEB2317850CE,65,2023-02-08T11:05:00+05:30,64.0,2023-02-08T12:25:00+05:30,59.9,opposite_signal,False,-4.100000000000001,-266.5000000000001
WEEKLY_CE,NIFTY09FEB2317850CE,65,2023-02-08T12:30:00+05:30,63.9,2023-02-08T12:40:00+05:30,62.3,opposite_signal,False,-1.6000000000000014,-104.00000000000009
WEEKLY_CE,NIFTY09FEB2317850CE,65,2023-02-08T12:55:00+05:30,63.95,2023-02-08T15:15:00+05:30,71.15,universal_exit_time,False,7.200000000000003,468.00000000000017
WEEKLY_PE,NIFTY16FEB2317800PE,65,2023-02-09T09:30:00+05:30,112.65,2023-02-09T10:10:00+05:30,87.75,opposite_signal,False,-24.900000000000006,-1618.5000000000005
WEEKLY_CE,NIFTY16FEB2317900CE,65,2023-02-09T11:20:00+05:30,114.8,2023-02-09T11:45:00+05:30,114.45,opposite_signal,False,-0.3499999999999943,-22.74999999999963
